Country,Commencement,Population
Albania,2009,2.38 M
Belgium,1949,11.86 M
Bulgaria,2004,6.44 M
Canada,1949,41.29 M
Croatia,2009,3.87 M
Czechia,1999,10.91 M
Denmark,1949,5.98 M
Estonia,2004,1.37 M
Finland,2023,5.62 M
France,1949,68.55 M
Germany,1955,83.52 M
Greece,1952,10.41 M
Hungary,1999,9.56 M
Iceland,1949,0.39 M
Italy,1949,58.95 M
Latvia,2004,1.87 M
Lithuania,2004,2.89 M
Luxembourg,1949,0.68 M
Montenegro,2017,0.62 M
Netherlands,1949,17.99 M
North Macedonia,2020,1.82 M
Norway,1949,5.57 M
Poland,1999,36.56 M
Portugal,1949,10.69 M
Romania,2004,19.05 M
Slovakia,2004,5.42 M
Slovenia,2004,2.13 M
Spain,1982,48.85 M
Sweden,2024,10.57 M
Turkey,1952,85.52 M
United Kingdom,1949,69.23 M
United States,1949,340.11 M